"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NRG2",5.4749100186159e-68,0.385380119414909,0.297,0.058,3.22307952795918e-63,"11","NRG2"
"NASP2",9.34206109843415e-68,0.610137585919532,0.794,0.452,5.49967136864818e-63,"11","NASP"
"OBSCN",1.20594233519636e-67,0.322810046605258,0.301,0.06,7.09938252730098e-63,"11","OBSCN"
"FSCN12",1.49212308265397e-67,0.278027644217822,0.308,0.061,8.78412858758393e-63,"11","FSCN1"
"CNN32",1.51974172216618e-67,0.440747235215401,0.737,0.329,8.94671951839227e-63,"11","CNN3"
"HNRNPAB3",2.14791053586252e-67,0.61065658359722,0.752,0.464,1.26447493246227e-62,"11","HNRNPAB"
"ACSL43",4.05691988786063e-67,0.419278843847141,0.47,0.152,2.38830873798355e-62,"11","ACSL4"
"ZNF5031",4.25989051672588e-67,0.450753482628598,0.45,0.144,2.50779754719653e-62,"11","ZNF503"
"ASPH3",5.26452210749418e-67,0.571604418688401,0.722,0.386,3.09922416468182e-62,"11","ASPH"
"ZSWIM62",6.7333531134649e-67,0.504535740139798,0.465,0.16,3.96392497789679e-62,"11","ZSWIM6"
"TMEM30B1",7.79888330838968e-67,0.449512111449611,0.461,0.161,4.59120260364901e-62,"11","TMEM30B"
"GALNT18",1.1269119839342e-66,0.272359932142315,0.293,0.054,6.63413084942061e-62,"11","GALNT18"
"IRF2BP23",1.22320199193011e-66,0.598717380560777,0.801,0.473,7.20099012649255e-62,"11","IRF2BP2"
"POLR1D1",3.77019775663448e-66,0.584105959100418,0.787,0.514,2.21951541933072e-61,"11","POLR1D"
"INTS65",7.15356686648867e-66,0.690916331383704,0.744,0.415,4.21130481430188e-61,"11","INTS6"
"BOC2",7.74066348367567e-66,0.370290618961689,0.381,0.107,4.55692859283987e-61,"11","BOC"
"ACTN12",1.1973108472563e-65,0.798258862126551,0.759,0.426,7.04856895779782e-61,"11","ACTN1"
"NPTN1",1.66434452097391e-65,0.501398824131672,0.618,0.294,9.79799619497343e-61,"11","NPTN"
"TOB24",2.49122646990014e-65,0.516939497440156,0.618,0.284,1.46658502283021e-60,"11","TOB2"
"ETF12",3.5784964871142e-65,0.568769127354801,0.688,0.351,2.10666088196413e-60,"11","ETF1"
"FOSL24",4.92905830237516e-65,0.492320721348296,0.63,0.278,2.90173662260826e-60,"11","FOSL2"
"TLCD22",7.58003832002011e-65,0.480228878825178,0.382,0.111,4.46236855899584e-60,"11","TLCD2"
