"","gene","logFC","logCPM","LR","PValue","FDR","s04_SMG","s07_SMG","s09_SMG","s12_SMG","s14_SMG","s17_SMG","s23_SMG","s01_SMG_IR","s02_SMG_IR","s21_SMG_IR","s27_SMG_IR","s30_SMG_IR","s31_SMG_IR"
"7105","ERMP1",0.506756304603787,7.15623219568127,2.13782256229296,0.143705736730903,0.540064189740023,3152,1336,1127,1420,693,889,1030,1306,1041,356,1259,2319,1620
"7106","ERN1",-0.223108612330397,6.74838925821752,0.968619100877202,0.325024812749562,0.738459348649244,1419,853,645,967,745,1120,824,784,556,274,727,1017,607
"7107","ERN2",-1.33971308735486,3.03863988394762,10.3615687961423,0.00128665817572914,0.045613293759182,232,137,178,136,237,95,193,92,28,22,61,37,28
"7108","ERO1A",-0.0265252305806917,6.01401834402179,0.0184578616534701,0.89193218436294,0.975809140765056,980,485,620,530,479,685,505,637,503,164,902,827,554
"7109","ERO1B",-0.12463946158184,5.06345239416792,0.256959436538768,0.612216800209034,0.891988357800513,432,223,311,238,204,349,235,277,209,130,383,364,238
"7110","ERP27",0.553362503006048,1.94581886063866,1.47492511393038,0.224570226478573,0.647718279011952,59,32,9,31,16,17,14,17,59,19,74,79,28
"7111","ERP29",0.0243047593323991,6.48708622827673,0.00716730151841105,0.932531763247561,0.985156506437165,1316,864,543,838,872,688,463,643,736,337,1122,731,862
"7112","ERP44",0.0519623596132841,5.75346438066382,0.0482039358701645,0.82621856076479,0.957268490578888,632,366,405,401,404,624,452,594,450,194,638,653,414
"7113","ERRFI1",0.160397798550516,7.0736582557341,0.103624070598322,0.747523204190383,0.936262990073602,1911,855,1105,834,966,1003,1760,803,937,239,1495,818,977
"7114","ERV3-1",-0.0624336337413299,4.8968858040513,0.0288576044435445,0.865108236850441,0.967910593313006,434,207,171,201,185,175,146,338,261,85,343,387,282
"7115","ERVE-1",-0.169058242660972,3.21461560460215,0.131739588933304,0.716635148470956,0.926975725683708,190,126,101,108,60,132,126,58,18,28,28,22,88
"7116","ERVFRD-1",0.436374867582601,1.36217606171526,1.15826346456151,0.281825973915692,0.69996305829436,25,9,15,16,4,17,18,19,27,7,23,70,30
"7117","ERVH48-1",0.54710441409443,1.25129102063703,1.85272172056125,0.173467173687941,0.585457984921525,21,8,12,8,9,16,9,10,32,7,20,57,34
"7118","ERVK13-1",-0.291053593176343,5.55447384023506,1.3209443607796,0.250422637774183,0.673027751262003,626,324,319,499,471,372,438,443,278,145,372,607,352
"7119","ERVK3-1",-0.0197409629347843,2.98733530486666,0.00634463610616542,0.93651306296194,0.985958530173201,105,53,43,50,51,90,56,72,65,26,101,168,72
"7120","ERVK9-11",0.230115256141039,0.331279291411853,0.22794274321943,0.633053466813736,0.900635663519467,7,4,11,6,5,3,7,8,17,1,14,22,17
"7121","ERVMER34-1",0.734013085426077,0.219690939311104,1.89299067598807,0.168864988374937,0.579469869835044,15,3,8,2,5,11,6,4,12,2,11,24,15
"7122","ERVW-1",-0.130021100849487,1.65173486212977,0.138559030407023,0.70971775397981,0.923988762472224,25,19,14,11,28,13,17,20,39,5,42,78,36
"7123","ESAM",0.583385664990071,3.09978104547646,3.53022903794309,0.0602594634685354,0.368906975175244,91,38,25,27,24,42,44,69,65,34,116,156,120
"7124","ESCO1",-0.130283055121938,5.75582517626976,0.396631668717863,0.528833950489449,0.854868699287505,779,421,382,456,411,493,386,490,510,158,585,658,479
"7125","ESCO2",-0.550728477148561,0.743242478729387,1.03330218605196,0.309384339108981,0.725311949544512,6,5,0,5,3,8,3,3,20,2,29,12,20
"7126","ESD",-0.236598381443546,6.01593663127371,1.30763879300163,0.252822610112016,0.675359494472679,924,565,532,574,529,647,549,561,335,179,824,725,502
"7127","ESF1",0.0583064012732652,4.42573340238312,0.0476825020323677,0.827146109210448,0.957601156328513,385,195,176,161,84,160,121,175,211,73,274,288,167
"7128","ESM1",1.58635343464607,3.54904629372709,6.23063909099713,0.0125558413199208,0.166524966581584,88,31,20,68,56,54,45,13,45,82,143,52,82
"7129","ESPL1",-0.50460875775965,1.36765537138162,1.52776103608626,0.216448784556207,0.639120384027971,9,8,11,13,8,18,12,12,17,4,37,38,37
"7130","ESPN",2.03242278977209,2.15599272780632,16.2781201094352,5.46918438687322e-05,0.00621549366206483,32,4,16,35,30,20,29,54,89,22,166,162,40
"7131","ESPNL",0.867986735832989,0.0552354439161992,0.9843216304725,0.32113418915127,0.735373258933847,2,6,0,1,0,1,1,1,22,1,14,8,12
"7132","ESR1",0.739983035006364,3.81065062514917,7.50955064707577,0.006137268101062,0.110961807267201,118,51,34,63,54,73,55,99,200,56,227,229,126
"7133","ESR2",-0.854708585538413,2.98125158447051,8.19692023679594,0.00419615583148138,0.0899175713698357,66,38,30,65,65,86,27,38,93,15,74,171,64
"7134","ESRP1",0.929028785996629,5.9425418786786,5.41845711056487,0.0199249596602576,0.213506248773277,1042,666,590,595,522,663,596,524,302,194,531,603,491
"7135","ESRP2",0.230107066381363,4.95333404299531,0.978197558888729,0.322644205316671,0.737264282354319,592,272,274,274,212,423,308,316,169,109,271,345,264
"7136","ESRRA",-0.430795739845161,5.91732722625619,2.21543240568253,0.136636773709837,0.529921982156995,1235,687,711,653,327,703,648,474,374,166,585,460,523
"7137","ESRRG",0.538910806877852,6.37173728986776,2.43946940176668,0.118316240697295,0.503814341251752,2108,1102,1180,1041,647,873,846,995,490,321,447,991,977
"7138","ESS2",0.114758514759791,3.38978167783297,0.169953643196793,0.680153009717086,0.916356250103894,134,58,78,76,51,128,84,80,80,38,156,112,88
"7139","ESYT1",-0.0521562366543528,6.99605555926451,0.0744052578323675,0.785027506664794,0.946564026467166,1348,750,796,736,668,849,680,828,1467,338,1469,1506,1251
"7140","ESYT2",-0.0224138254674533,7.50233651537836,0.0156339301726742,0.900495275251188,0.97719485099556,2204,1496,1308,1309,1083,1677,1599,1482,1642,563,2163,2215,1745
"7141","ESYT3",0.633031915752514,2.44430301718853,2.16958866866439,0.14076388076298,0.535484326819843,65,33,30,29,34,32,41,28,61,15,71,134,55
"7142","ETAA1",-0.111265934574998,5.02935775069341,0.168278922113885,0.681645935440316,0.916356250103894,505,294,291,308,192,319,256,291,312,95,470,376,278
"7143","ETF1",0.00571579959803027,6.87097632891168,0.000824508799865953,0.977092482215167,0.996226761482587,1272,872,971,911,755,996,906,857,1051,307,1432,1124,935
"7144","ETF1P2",-0.0881585300951884,1.75671383028245,0.0396413969070473,0.842183368310242,0.962218810188665,15,8,13,17,31,18,15,9,35,8,26,74,24
