"","logFC","logCPM","LR","PValue","FDR"
"ECT2L",-0.110252902093382,2.36793823847302,0.19232702575224,0.660986870329371,0.932351113839953
"SHPK",-0.124890953752168,1.59825681486478,0.192257192002975,0.661044578724272,0.932351113839953
"AL359715.2",-0.124166601829549,1.73989826920662,0.192242625385109,0.661056617690186,0.932351113839953
"GLTPD2",0.16647821200215,0.592010510537508,0.19220030093858,0.661091600932193,0.932351113839953
"CREB5",-0.158045821594311,3.80985675125406,0.192198229490462,0.661093313204074,0.932351113839953
"AL590652.1",0.175726692198116,0.717336942700129,0.192103498836968,0.661171629908111,0.932351113839953
"SCNN1B",-0.184238327701695,3.90949762250528,0.192093372780196,0.661180002788057,0.932351113839953
"AMDHD1",0.176046656342257,0.29828661806,0.192073171817142,0.661196707039356,0.932351113839953
"LRAT",-0.188025357005743,1.10351111399532,0.191799666416678,0.661422972802866,0.932532011073751
"ITIH5",-0.111799229331398,6.26516015932881,0.19170836287622,0.66149854927229,0.932532011073751
"Z93930.2",-0.102642532416008,2.84661215283972,0.191654206687037,0.661543387170403,0.932532011073751
"PI4KAP2",0.157350403944388,0.902770990722943,0.191601218370966,0.661587265450729,0.932532011073751
"STK11IP",0.0928085983888816,4.40557224734204,0.191545690662338,0.66163325429623,0.932532011073751
"LRP5L",0.0939773922040043,3.76912967503404,0.191500935036544,0.661670327329342,0.932532011073751
"SNHG4",0.110380208213705,2.07844711362308,0.191478649960521,0.661688788952916,0.932532011073751
"SCAI",-0.0887840545158646,4.78615878086607,0.191394634440703,0.661758401434313,0.932532011073751
"ESCO1",-0.0731699538701837,5.75582517626976,0.191270542636893,0.661861253105474,0.932532011073751
"ARPC5L",0.0936530321570616,4.00552087904939,0.191137091541057,0.661971906453115,0.932532011073751
"COCH",-0.149592407104864,2.15310828386761,0.191057034261856,0.662038309451291,0.932532011073751
"RPS20P22",-0.251797568049887,1.31740704038649,0.191007011500954,0.662079808922311,0.932532011073751
"TATDN2",0.0814481420707539,3.91599592054468,0.191002134075747,0.662083855637933,0.932532011073751
"AP001011.1",-0.208471485429781,-0.182728103120768,0.190837174825429,0.66222075573484,0.932532011073751
"TMEM54",-0.108600915627534,3.55812306270417,0.190778475795181,0.662269487204593,0.932532011073751
"NLRP1",0.104112498195621,5.27060136442605,0.190763358988395,0.662282038503307,0.932532011073751
"RAD50",0.0777113908012061,6.09931390105143,0.190713950002269,0.662323066307974,0.932532011073751
